I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, 48, 39, -29, -14, 43, -19, -122, -161, -126, -92, -4, 
9, 53, 43, -31, -17, 48, -19, -126, -161, -126, -92, 0, 
19, 58, 39, -39, -9, 48, -19, -126, -161, -126, -87, 9, 
19, 63, 43, -41, -12, 53, -24, -126, -161, -117, -87, 14, 
19, 78, 58, -48, -19, 68, -14, -126, -151, -102, -78, 19, 
24, 78, 53, -51, -14, 65, -14, -126, -151, -102, -68, 19, 
19, 78, 58, -48, -19, 68, -14, -126, -151, -102, -63, 19, 
14, 68, 53, -41, -19, 61, -14, -122, -151, -107, -58, 19, 
14, 73, 58, -43, -21, 65, -9, -107, -141, -97, -58, 29, 
4, 58, 53, -31, -24, 56, -4, -102, -131, -92, -58, 19, 
-4, 48, 53, -21, -29, 51, 9, -87, -131, -92, -58, 19, 
-9, 39, 48, -14, -29, 43, 9, -87, -131, -92, -68, 9, 
0, 29, 29, -14, -14, 29, 4, -82, -131, -102, -58, 14, 
-9, 24, 34, -7, -21, 29, 4, -82, -141, -107, -63, 9, 
-4, 19, 24, -7, -14, 21, 4, -82, -146, -112, -73, 0, 
-14, 14, 29, 0, -21, 21, 9, -82, -146, -117, -78, -4, 
-24, -4, 19, 14, -21, 7, 0, -92, -151, -122, -92, -19, 
-29, -24, 4, 26, -17, -9, 0, -102, -161, -126, -102, -29, 
-43, -34, 9, 39, -26, -12, 4, -107, -170, -141, -112, -39, 
-48, -48, 0, 48, -24, -24, 4, -107, -180, -146, -122, -43, 
-58, -58, 0, 58, -29, -29, 14, -112, -180, -156, -122, -43, 
-63, -63, 0, 63, -31, -31, 14, -112, -185, -156, -122, -53, 
-73, -73, 0, 73, -36, -36, 14, -112, -190, -161, -131, -58, 
-78, -82, -4, 80, -36, -43, 19, -112, -195, -165, -136, -63, 
-78, -97, -19, 87, -29, -58, 19, -112, -200, -170, -141, -68, 
-78, -97, -19, 87, -29, -58, 14, -117, -204, -175, -146, -73, 
-78, -107, -29, 92, -24, -68, 14, -122, -209, -180, -146, -78, 
-78, -107, -29, 92, -24, -68, 14, -122, -209, -185, -146, -78, 
-82, -112, -29, 97, -26, -70, 14, -131, -209, -185, -151, -78, 
-82, -112, -29, 97, -26, -70, 14, -131, -209, -185, -151, -78, 
-82, -112, -29, 97, -26, -70, 14, -131, -209, -185, -151, -78, 
-82, -112, -29, 97, -26, -70, 19, -126, -209, -185, -151, -78, 
-92, -112, -19, 102, -36, -65, 19, -126, -219, -175, -141, -78, 
