I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-29, -24, 4, 26, -17, -9, 73, 4, 248, -146, -4, -14, 
-29, -14, 14, 21, -21, 0, 63, 4, 253, -146, 4, -9, 
-19, 0, 19, 9, -19, 9, 58, 4, 258, -146, 9, -4, 
-9, 14, 24, -2, -17, 19, 48, 0, 258, -136, 9, 0, 
-9, 24, 34, -7, -21, 29, 58, -9, 253, -136, 4, -9, 
-9, 24, 34, -7, -21, 29, 48, -9, 253, -136, 4, -9, 
-9, 24, 34, -7, -21, 29, 43, -19, 253, -131, 4, -9, 
-9, 24, 34, -7, -21, 29, 29, -24, 248, -131, 4, -4, 
-9, 34, 43, -12, -26, 39, 24, -34, 258, -122, 4, 4, 
-9, 53, 63, -21, -36, 58, 19, -34, 248, -126, 9, 4, 
-4, 58, 63, -26, -34, 61, 19, -29, 244, -126, 19, 9, 
0, 58, 58, -29, -29, 58, 9, -29, 244, -126, 24, 9, 
4, 48, 43, -26, -19, 46, 4, -34, 253, -131, 24, 19, 
14, 58, 43, -36, -14, 51, 0, -34, 244, -131, 24, 19, 
19, 58, 39, -39, -9, 48, 0, -34, 244, -126, 24, 19, 
24, 58, 34, -41, -4, 46, 0, -29, 248, -122, 34, 29, 
24, 63, 39, -43, -7, 51, -4, -24, 248, -112, 43, 39, 
29, 58, 29, -43, 0, 43, -4, -24, 248, -112, 43, 39, 
29, 43, 14, -36, 7, 29, -4, -24, 248, -112, 43, 39, 
29, 39, 9, -34, 9, 24, 0, -14, 253, -107, 53, 39, 
24, 48, 24, -36, 0, 36, 4, -19, 244, -102, 53, 39, 
24, 53, 29, -39, -2, 41, 4, -19, 248, -102, 53, 39, 
14, 53, 39, -34, -12, 46, 4, -19, 248, -107, 53, 39, 
9, 39, 29, -24, -9, 34, 9, -24, 239, -117, 43, 34, 
4, 29, 24, -17, -9, 26, 14, -34, 229, -131, 34, 24, 
-4, 24, 29, -9, -17, 26, 14, -34, 229, -131, 24, 14, 
-14, 24, 39, -4, -26, 31, 14, -34, 234, -131, 19, 4, 
-19, -4, 14, 12, -17, 4, 19, -34, 234, -136, 14, -4, 
-19, -14, 4, 17, -12, -4, 29, -29, 229, -136, 9, -4, 
-24, -14, 9, 19, -17, -2, 24, -29, 219, -141, 4, -9, 
-29, -19, 9, 24, -19, -4, 24, -24, 214, -141, 0, -14, 
-34, -29, 4, 31, -19, -12, 24, -19, 209, -146, -4, -19, 
-34, -24, 9, 29, -21, -7, 14, -24, 195, -156, -14, -24, 
-34, -29, 4, 31, -19, -12, 19, -29, 195, -161, -14, -24, 
-43, -43, 0, 43, -21, -21, 19, -34, 190, -161, -14, -24, 
-48, -43, 4, 46, -26, -19, 29, -43, 190, -170, -19, -24, 
-48, -58, -9, 53, -19, -34, 39, -43, 180, -175, -34, -34, 
-48, -78, -29, 63, -9, -53, 39, -43, 175, -180, -34, -39, 
-48, -97, -48, 73, 0, -73, 39, -43, 170, -185, -34, -48, 
-48, -92, -43, 70, -2, -68, 39, -43, 170, -195, -39, -53, 
-48, -82, -34, 65, -7, -58, 29, -34, 175, -185, -34, -43, 
-48, -82, -34, 65, -7, -58, 29, -34, 175, -185, -34, -43, 
-48, -82, -34, 65, -7, -58, 24, -39, 170, -185, -43, -48, 
-48, -78, -29, 63, -9, -53, 24, -39, 170, -190, -43, -48, 
-43, -68, -24, 56, -9, -46, 24, -48, 170, -180, -29, -39, 
-39, -78, -39, 58, 0, -58, 29, -43, 170, -180, -24, -34, 
-34, -78, -43, 56, 4, -61, 29, -43, 170, -175, -24, -34, 
-24, -78, -53, 51, 14, -65, 34, -43, 170, -175, -24, -34, 
-34, -82, -48, 58, 7, -65, 39, -39, 180, -170, -14, -39, 
-34, -87, -53, 61, 9, -70, 39, -34, 180, -165, -19, -39, 
-34, -92, -58, 63, 12, -75, 43, -29, 175, -170, -24, -39, 
-39, -97, -58, 68, 9, -78, 48, -24, 165, -165, -24, -43, 
-29, -82, -53, 56, 12, -68, 43, -39, 170, -175, -34, -53, 
-24, -92, -68, 58, 21, -80, 34, -24, 161, -195, -43, -68, 
-34, -117, -82, 75, 24, -100, 48, 9, 146, -229, -73, -92, 
-29, -136, -107, 82, 39, -122, 63, 19, 141, -234, -92, -102, 
-4, -156, -151, 80, 73, -153, 78, 29, 146, -234, -102, -97, 
9, -180, -190, 85, 100, -185, 78, 48, 185, -195, -73, -78, 
9, -185, -195, 87, 102, -190, 68, 82, 248, -122, -19, -48, 
34, -175, -209, 70, 122, -192, 53, 126, 331, -19, 63, 4, 
73, -131, -204, 29, 139, -168, 34, 195, 448, 97, 165, 73, 
141, -53, -195, -43, 168, -124, 9, 283, 605, 248, 297, 161, 
200, 19, -180, -109, 190, -80, -4, 375, 756, 390, 414, 244, 
229, 53, -175, -141, 202, -61, 4, 463, 863, 497, 502, 312, 
258, 63, -195, -161, 226, -65, -9, 507, 936, 580, 566, 366, 
322, 112, -209, -217, 265, -48, -63, 463, 941, 683, 658, 448, 
405, 214, -190, -309, 297, 12, -161, 307, 912, 785, 790, 570, 
478, 317, -161, -397, 319, 78, -302, 92, 844, 863, 927, 688, 
522, 409, -112, -466, 317, 148, -453, -136, 761, 917, 1034, 795, 
580, 502, -78, -541, 329, 212, -590, -307, 707, 980, 1151, 912, 
624, 585, -39, -605, 331, 273, -712, -434, 658, 1044, 1263, 1029, 
619, 663, 43, -641, 287, 353, -824, -590, 551, 1054, 1317, 1098, 
536, 732, 195, -634, 170, 463, -922, -819, 292, 873, 1195, 1054, 
361, 732, 370, -546, -4, 551, -946, -1073, -165, 405, 854, 849, 
180, 649, 468, -414, -143, 558, -868, -1263, -683, -161, 429, 580, 
53, 546, 492, -300, -219, 519, -780, -1283, -936, -497, 141, 395, 
-39, 434, 473, -197, -256, 453, -688, -1151, -956, -595, 9, 273, 
-92, 292, 385, -100, -239, 339, -624, -1054, -941, -668, -102, 161, 
-117, 175, 292, -29, -204, 234, -566, -1010, -922, -746, -224, 34, 
-146, 102, 248, 21, -197, 175, -492, -907, -844, -756, -302, -58, 
-156, 29, 185, 63, -170, 107, -385, -780, -727, -722, -331, -126, 
-156, -4, 151, 80, -153, 73, -292, -683, -658, -717, -351, -165, 
-146, -4, 141, 75, -143, 68, -268, -600, -600, -688, -356, -175, 
-146, 9, 156, 68, -151, 82, -248, -531, -527, -634, -331, -190, 
-136, 14, 151, 61, -143, 82, -204, -444, -424, -580, -302, -190, 
-126, 0, 126, 63, -126, 63, -136, -351, -331, -531, -268, -180, 
-122, -34, 87, 78, -104, 26, -92, -268, -253, -483, -239, -156, 
-107, -53, 53, 80, -80, 0, -34, -190, -170, -419, -190, -131, 
-92, -63, 29, 78, -61, -17, 0, -136, -87, -351, -141, -102, 
-82, -73, 9, 78, -46, -31, 9, -112, -39, -312, -117, -82, 
